Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Duration (sec.),ArtistBio,Nationality,Gender,BeginDate,EndDate,Area (cm^2),Aspect,OilPainting,YearCreated,AspectString
39,Poltergeist,Charles Hinman,2658.0,1964,Synthetic polymer paint on shaped canvas over wood framework,"8' 2 3/4"" x 61 7/8"" x 16 3/8"" (250.7 x 156.9 x 41.5 cm)",Larry Aldrich Foundation Fund,3.1965,Painting,Painting & Sculpture,1965-01-12,Y,78339,,41.5,,250.7,,,156.9,,"American, born 1932",American,male,1932.0,0.0,39334.83,0.625847626645393,N,1964,Portrait
40,"Generative Painting: Black, Red, Orange",Eduardo A. MacEntyre,3664.0,1965,Oil on canvas,"64 3/4 x 59"" (164.9 x 150.4 cm)",Inter-American Fund,3.1967,Painting,Painting & Sculpture,1967-02-09,Y,78340,,,,164.9,,,150.4,,"Argentine, 1929–2014",Argentine,male,1929.0,2014.0,24800.960000000003,0.9120679199514857,Y,1965,Portrait
41,Doorstop,James Rosenquist,5021.0,1963,Oil on canvas with light bulbs,"60 1/8"" x 6' 11 7/8"" x 16 3/4""  (152.6 x 213 x 42.5 cm)",Mrs. Armand P. Bartos Fund (by exchange) and gift of Agnes Gund,3.1996,Painting,Painting & Sculpture,1996-03-11,Y,78342,,42.5,,152.7,,,213.0,,"American, 1933–2017",American,male,1933.0,2017.0,32525.1,1.3948919449901769,Y,1963,Landscape
42,Proletarian Victim,David Alfaro Siqueiros,5454.0,1933,Enamel on burlap,"6' 9"" x 47 1/2"" (205.8 x 120.6 cm)",Gift of the Estate of George Gershwin,4.1938,Painting,Painting & Sculpture,1938-02-17,Y,78345,,,,205.8,,,120.6,,"Mexican, 1896–1974",Mexican,male,1896.0,1974.0,24819.48,0.58600583090379,N,1933,Portrait
43,Green-Gray Goblet,Emilio Pettoruti,4588.0,1934,Oil on canvas,"21 5/8 x 18 1/8"" (54.9 x 46 cm)",Inter-American Fund,4.1943,Painting,Painting & Sculpture,1943-02-18,Y,78346,,,,54.9,,,46.0,,"Argentine, 1892–1971",Argentine,male,1892.0,1971.0,2525.4,0.8378870673952641,Y,1934,Portrait
44,Red Votive Lights,Loren MacIver,3668.0,1943,Oil on wood,"20 x 25 5/8"" (50.8 x 65.1 cm)",James Thrall Soby Fund,4.1945,Painting,Painting & Sculpture,1945-01-03,Y,78347,,,,50.8,,,65.1,,"American, 1909–1998",American,female,1909.0,1998.0,3307.0799999999995,1.281496062992126,Y,1943,Landscape
45,I See Again in Memory My Dear Udnie,Francis Picabia,4607.0,"Paris, June - July 1914",Oil on canvas,"8' 2 1/2"" x 6' 6 1/4"" (250.2 x 198.8 cm)",Hillman Periodicals Fund,4.1954,Painting,Painting & Sculpture,1954-01-12,Y,78348,,,,250.2,,,198.8,,"French, 1879–1953",French,male,1879.0,1953.0,49739.76,0.7945643485211832,Y,1914,Portrait
46,Number 5-58,Nassos Daphnis,1385.0,1958,Synthetic polymer paint on canvas,"64 1/8 x 43"" (162.7 x 109.2 cm)",Blanchette Hooker Rockefeller Fund,4.1959,Painting,Painting & Sculpture,1959-03-02,Y,78349,,,,162.7,,,109.2,,"American, born Greece. 1914–2010",American,male,1914.0,2010.0,17766.84,0.6711739397664414,N,1958,Portrait
47,Divided Hour,Antonio Corpora,1254.0,1958,Oil on canvas,"57 1/2 x 44 7/8"" (145.9 x 113.8 cm)",Given anonymously,4.1960,Painting,Painting & Sculpture,1960-02-10,Y,78350,,,,145.9,,,113.8,,"Italian, born Tunis. 1909–2004",Italian,male,1909.0,2004.0,16603.420000000002,0.7799862919808087,Y,1958,Portrait
48,Edge of August,Mark Tobey,5889.0,1953,Casein on board,"48 x 28"" (121.9 x 71.1 cm)",Purchase,5.1954,Painting,Painting & Sculpture,1954-01-12,Y,78357,,,,121.9,,,71.1,,"American, 1890–1976",American,male,1890.0,1976.0,8667.09,0.5832649712879409,N,1953,Portrait
49,Enamored Tomcat,Leonardo Cremonini,1303.0,1952,Oil on canvas,"23 1/8 x 17 3/4"" (58.7 x 45.1 cm)",Purchase,5.1955,Painting,Painting & Sculpture,1955-04-06,Y,78358,,,,58.7,,,45.1,,"Italian, 1925–2010",Italian,male,1925.0,2010.0,2647.3700000000003,0.768313458262351,Y,1952,Portrait
50,Big Red,Sam Francis,1965.0,Paris 1953,Oil on canvas,"10' x 6' 4 1/4"" (303.2 x 194 cm)",Gift of Mr. and Mrs. David Rockefeller,5.1958,Painting,Painting & Sculpture,1958-02-19,Y,78360,,,,303.2,,,194.0,,"American, 1923–1994",American,male,1923.0,1994.0,58820.799999999996,0.6398416886543535,Y,1953,Portrait
51,The Tree,Agnes Martin,3787.0,1964,Oil and pencil on canvas,6 x 6' (182.8 x 182.8 cm),Larry Aldrich Foundation Fund,5.1965,Painting,Painting & Sculpture,1965-01-12,Y,78361,,,,182.8,,,182.8,,"American, born Canada. 1912–2004",American,female,1912.0,2004.0,33415.840000000004,1.0,Y,1964,Square
52,Turnsole,Kenneth Noland,4326.0,1961,Synthetic polymer paint on canvas,"7' 10 1/8"" x 7' 10 1/8"" (239 x 239 cm)",Blanchette Hooker Rockefeller Fund,5.1968,Painting,Painting & Sculpture,1968-01-10,Y,78362,,,,239.0,,,239.0,,"American, 1924–2010",American,male,1924.0,2010.0,57121.0,1.0,N,1961,Square
53,Untitled,Cy Twombly,5988.0,1968,Oil-based house paint and crayon on canvas,"68 1/8"" x 7' 3 1/8"" (172.8 x 216 cm)",Gift of Barbara Jakobson and John R. Jakobson,5.1969,Painting,Painting & Sculpture,1969-01-07,Y,78363,,,,172.8,,,216.0,,"American, 1928–2011",American,male,1928.0,2011.0,37324.8,1.25,N,1968,Landscape
54,Achrome,Piero Manzoni,3741.0,1960,Kaolin on canvas,"16 1/8 x 24"" (41 x 61 cm)",Committee on Painting and Sculpture Funds,5.1999,Painting,Painting & Sculpture,1999-02-08,Y,78364,,,,41.0,,,61.0,,"Italian, 1933–1963",Italian,male,1933.0,1963.0,2501.0,1.4878048780487805,N,1960,Landscape
55,Homestead,Thomas Hart Benton,483.0,1934,Tempera and oil on board,"25 x 34"" (63.5 x 86.4 cm)",Gift of Marshall Field (by exchange),6.1938,Painting,Painting & Sculpture,1938-02-17,Y,78365,,,,63.5,,,86.4,,"American, 1889–1975",American,male,1889.0,1975.0,5486.400000000001,1.3606299212598425,Y,1934,Landscape
56,Self-Portrait,John Kane,2982.0,1929,Oil on canvas over board,"36 1/8 x 27 1/8"" (91.8 x 68.9 cm)",Abby Aldrich Rockefeller Fund,6.1939,Painting,Painting & Sculpture,1939-01-06,Y,78366,,,,91.8,,,68.9,,"American, born Scotland. 1860–1934",American,male,1860.0,1934.0,6325.02,0.7505446623093682,Y,1929,Portrait
57,Departure,Max Beckmann,429.0,"Frankfurt 1932, Berlin 1933-35","Oil on canvas, three panels","Side panels 7' 3/4"" x 39 1/4"" (215.3 x 99.7 cm), center panel 7' 3/4"" x 45 3/8"" (215.3 x 115.2 cm)",Given anonymously (by exchange),6.1942.a-c,Painting,Painting & Sculpture,1942-01-27,Y,78367,,,,215.3,,,115.3,,"German, 1884–1950",German,male,1884.0,1950.0,24824.09,0.5355318160705991,Y,1932,Portrait
58,The New Rich,Antonio Ruiz,5078.0,1941,Oil on canvas,"12 5/8 x 16 5/8"" (32.1 x 42.2 cm)",Inter-American Fund,6.1943,Painting,Painting & Sculpture,1943-02-18,Y,78368,,,,32.1,,,42.2,,"Mexican, 1897–1964",Mexican,male,1897.0,1964.0,1354.6200000000001,1.3146417445482865,Y,1941,Landscape
59,The Angel Kidnappers,Julio Castellanos,1026.0,1943,Oil on canvas,"22 5/8 x 37 3/8"" (57.5 x 94.9 cm)",Inter-American Fund,6.1944,Painting,Painting & Sculpture,1944-03-14,Y,78369,,,,57.5,,,94.9,,"Mexican, 1905–1947",Mexican,male,1905.0,1947.0,5456.75,1.6504347826086958,Y,1943,Landscape
