Index,Title,Artist,ConstituentID,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
92269,Day's End,Gordon Matta-Clark,6636.0,1975,"Super 8 film transferred to video (color, silent)",23:10 min.,Committee on Media Funds,1169.2007.3,Video,Media and Performance,2007-12-10,Y,114406,http://www.moma.org/collection/works/114406,http://www.moma.org/media/W1siZiIsIjEyNzg2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c94f24ca3052dae,,,,,,,,,0.0
92270,Bingo / Ninths,Gordon Matta-Clark,6636.0,1974,"Super 8 film transferred to video (color, silent)",9:40 min.,Committee on Media Funds,1167.2007.2,Video,Media and Performance,2007-12-10,Y,114407,http://www.moma.org/collection/works/114407,http://www.moma.org/media/W1siZiIsIjEzNjAzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=970bdde94f52a4d6,,,,,,,,,580.0
92271,Splitting,Gordon Matta-Clark,6636.0,1974,"Super 8 film transferred to video (black and white and color, silent)",10:50 min.,Committee on Media Funds,1167.2007.1,Video,Media and Performance,2007-12-10,Y,114408,http://www.moma.org/collection/works/114408,http://www.moma.org/media/W1siZiIsIjEzNjAzOCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e48143b421b4b072,,,,,,,,,630.0
92272,Clockshower,Gordon Matta-Clark,6636.0,1973,"16mm film transferred to video (color, silent)",13:50 min.,Committee on Media Funds,1166.2007.2,Video,Media and Performance,2007-12-10,Y,114409,http://www.moma.org/collection/works/114409,http://www.moma.org/media/W1siZiIsIjEzNjAzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=a9fda7116da96d79,,,,,,,,,830.0
92273,Fresh Kill,Gordon Matta-Clark,6636.0,1972,"16mm film transferred to video (color, sound)",12:56 min.,Committee on Media Funds,1169.2007.2,Video,Media and Performance,2007-12-10,Y,114410,http://www.moma.org/collection/works/114410,http://www.moma.org/media/W1siZiIsIjEzNjA0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d48b8846afd94be9,,,,,,,,,0.0
92274,Automation House,Gordon Matta-Clark,6636.0,1971,"16mm film transferred to video (black and white, sound)",32 min.,Committee on Media Funds,1166.2007.1,Video,Media and Performance,2007-12-10,Y,114411,http://www.moma.org/collection/works/114411,http://www.moma.org/media/W1siZiIsIjEzNjA0MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3a45169ead191f9d,,,,,,,,,1920.0
92275,Fire Child,Gordon Matta-Clark,6636.0,1971,"Super 8 film transferred to video (color, silent)",9:47 min.,Committee on Media Funds,1169.2007.1,Video,Media and Performance,2007-12-10,Y,114412,http://www.moma.org/collection/works/114412,http://www.moma.org/media/W1siZiIsIjEzNjA0MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c6a1a1de8151325,,,,,,,,,0.0
92283,"Art Make-Up: No. 1 White, No. 2 Pink, No. 3 Green, No. 4 Black",Bruce Nauman,4243.0,1967-1968,"16mm film transferred to video (color, sound)",40 min.,Acquired through the generosity of Anna Marie and Robert F. Shapiro,1182.2007,Video,Media and Performance,2007-12-10,Y,114456,http://www.moma.org/collection/works/114456,http://www.moma.org/media/W1siZiIsIjEzNjA0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=da9a83b1963546cf,,,,,,,,,2400.0
92287,Bicycle,Roman Signer,7824.0,1989,"Super 8mm film transferred to video (color, silent)",2 min.,Committee on Media Funds,1184.2007,Video,Media and Performance,2007-12-10,Y,114460,http://www.moma.org/collection/works/114460,http://www.moma.org/media/W1siZiIsIjE0NjE5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6033e7e3babd95d1,,,,,,,,,120.0
92299,Gun Powder,Roman Signer,7824.0,1989,"Super 8mm film transferred to video (color, silent)",2 min.,Committee on Media Funds,1185.2007,Video,Media and Performance,2007-12-10,Y,114530,http://www.moma.org/collection/works/114530,http://www.moma.org/media/W1siZiIsIjE0NjE5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=3723def5ea9b44f0,,,,,,,,,120.0
